scaffold	hit_number	annotation	position
scaffold_4	11	jg6659	11173761.5
scaffold_4	11	jg31388	11173341
scaffold_4	11	jg26919	11173135.5
scaffold_1	12	jg8328	201384
scaffold_1	12	jg3860	201394
scaffold_1	12	jg28354	201394.5
scaffold_1	12	jg395	201129.5
scaffold_1	12	jg16538	201591.5
scaffold_1	12	jg209	201771
scaffold_1	12	jg20323	202350
scaffold_1	12	jg20322	200174.5
scaffold_1	12	jg28452	200010.5
scaffold_1	12	jg208	199673
scaffold_1	12	jg23948	199465
scaffold_1	12	jg396	203538
scaffold_1	12	jg28453	203554
scaffold_1	12	jg12947	203625.5
scaffold_1	12	jg210	203701
scaffold_1	12	jg23949	203862
scaffold_1	12	jg8329	203975
scaffold_1	12	jg20324	204128
scaffold_1	12	jg397	204526
scaffold_1	12	jg16537	198057
scaffold_1	12	jg20321	197933
scaffold_1	12	jg3859	197845.5
scaffold_1	12	jg3861	204861
scaffold_1	12	jg16539	205070.5
scaffold_1	12	jg207	197521
scaffold_1	12	jg8327	197325.5
scaffold_1	12	jg16536	196943
scaffold_1	12	jg28451	196918.5
scaffold_1	12	jg23947	196756
scaffold_1	12	jg72	196737.5
scaffold_1	12	jg398	206080
scaffold_2	13	jg10994	10479869
scaffold_2	13	jg2263	10479657
scaffold_2	13	jg31223	10479905
scaffold_2	13	jg6522	10478782.5
scaffold_2	13	jg22310	10480809
scaffold_2	13	jg2262	10478671.5
scaffold_2	13	jg15138	10480886
scaffold_2	13	jg18346	10481264
scaffold_2	13	jg6523	10481461
scaffold_2	13	jg10993	10477831.5
scaffold_2	13	jg15137	10477329
scaffold_2	13	jg22309	10477034
scaffold_2	13	jg2264	10483341.5
scaffold_2	13	jg22311	10483399
scaffold_2	13	jg10992	10476098
scaffold_2	13	jg26754	10476070.5
scaffold_2	13	jg18345	10475714.5
scaffold_2	13	jg15139	10484051.5
scaffold_2	13	jg31224	10484469.5
scaffold_2	13	jg15136	10475046.5
scaffold_3	14	jg20597	1519325
scaffold_3	14	jg720	1519656
scaffold_3	14	jg24349	1520149.5
scaffold_3	14	jg28811	1520232.5
scaffold_3	14	jg4219	1520289
scaffold_3	14	jg8667	1520350
scaffold_3	14	jg24348	1517690.5
scaffold_3	14	jg13242	1520735.5
scaffold_3	14	jg28810	1517016
scaffold_3	14	jg719	1516920.5
scaffold_3	14	jg24350	1521827
scaffold_3	14	jg4218	1516224.5
scaffold_3	14	jg721	1522266.5
scaffold_3	14	jg4220	1522665
scaffold_3	14	jg24347	1515324.5
scaffold_3	14	jg718	1514965.5
scaffold_3	14	jg20596	1514952
scaffold_3	14	jg8668	1523731
scaffold_3	14	jg28809	1514489.5
scaffold_6	15	jg1985	8973590
scaffold_6	15	jg10629	8973978.5
scaffold_6	15	jg21928	8972742.5
scaffold_6	15	jg14729	8972306
scaffold_6	15	jg6202	8974694.5
scaffold_6	15	jg6201	8972243.5
scaffold_6	15	jg14730	8974822.5
scaffold_6	15	jg17986	8972070.5
scaffold_6	15	jg21929	8975134.5
scaffold_6	15	jg30826	8975205.5
scaffold_6	15	jg26423	8971546
scaffold_6	15	jg6203	8976133.5
scaffold_6	15	jg14728	8970469.5
scaffold_6	15	jg26424	8976518
scaffold_6	15	jg1986	8976523.5
scaffold_6	15	jg10628	8970042.5
scaffold_6	15	jg30825	8970008
scaffold_6	15	jg21930	8977060.5
scaffold_6	15	jg17985	8969441
scaffold_6	15	jg6200	8968791.5
scaffold_6	15	jg26422	8968773
scaffold_6	15	jg6204	8978244.5
scaffold_6	15	jg30827	8978421.5
scaffold_1	16	jg22973	12919774
scaffold_1	16	jg18967	12918958.5
scaffold_1	16	jg2829	12920079.5
scaffold_1	16	jg15813	12917636
scaffold_1	16	jg2828	12917121
scaffold_1	16	jg22974	12922653.5
scaffold_1	16	jg18968	12922899.5
scaffold_1	16	jg22972	12915932
scaffold_1	16	jg18966	12915520
scaffold_1	16	jg2827	12914749.5
scaffold_1	16	jg31807	12924239.5
scaffold_3	17	jg17465	6319348
scaffold_3	17	jg9926	6319071.5
scaffold_3	17	jg5508	6318988.5
scaffold_3	17	jg21371	6319747.5
scaffold_3	17	jg1626	6320913
scaffold_3	17	jg25700	6317252
scaffold_3	17	jg21370	6316604
scaffold_3	17	jg9927	6322967
scaffold_3	17	jg5509	6323153.5
scaffold_3	17	jg21372	6323432
scaffold_3	17	jg5507	6315095.5
scaffold_3	17	jg17464	6314909.5
scaffold_3	17	jg25701	6323741
scaffold_3	17	jg30139	6324000
scaffold_3	17	jg25699	6314615.5
scaffold_6	18	jg27746	16633391
scaffold_6	18	jg11917	16633410.5
scaffold_6	18	jg19973	16633047.5
scaffold_6	18	jg11916	16631994
scaffold_6	18	jg11918	16634804
scaffold_6	18	jg19974	16635293
scaffold_6	18	jg3787	16635755
scaffold_6	18	jg7451	16630518.5
scaffold_6	18	jg19972	16630368
scaffold_1	19	jg6160	8818025
scaffold_1	19	jg17934	8818051
scaffold_1	19	jg10582	8817138.5
scaffold_1	19	jg10583	8818875
scaffold_1	19	jg10581	8815533.5
scaffold_1	19	jg14695	8815148.5
scaffold_1	19	jg30792	8820248.5
scaffold_1	19	jg30791	8814862
scaffold_1	19	jg26370	8814842
scaffold_1	19	jg26371	8820612
scaffold_1	19	jg1952	8814619.5
scaffold_1	19	jg17935	8820661
scaffold_1	19	jg10584	8820861.5
scaffold_1	19	jg1953	8821290.5
scaffold_1	19	jg17933	8813814
scaffold_1	19	jg14696	8821463
scaffold_1	19	jg10585	8821662.5
scaffold_1	19	jg14694	8813415
scaffold_1	19	jg10580	8813303.5
scaffold_1	19	jg6159	8813045
scaffold_6	20	jg20904	2944721.5
scaffold_6	20	jg4608	2945048
scaffold_6	20	jg24736	2943027
scaffold_6	20	jg13564	2942859
scaffold_6	20	jg29209	2945273.5
scaffold_6	20	jg17124	2942736
scaffold_6	20	jg24737	2945348
scaffold_6	20	jg1035	2945595.5
scaffold_6	20	jg4607	2941924
scaffold_6	20	jg17125	2946556
scaffold_6	20	jg9063	2941250
scaffold_6	20	jg29208	2940860
scaffold_6	20	jg17123	2940742.5
scaffold_6	20	jg1036	2947813
