scaffold	hit_number	annotation	position
scaffold_7	6	jg17093	2789710
scaffold_7	6	jg24690	2785192
scaffold_7	6	jg20868	2785024
scaffold_7	6	jg24692	2791376.5
scaffold_7	6	jg29175	2791774.5
scaffold_7	6	jg17092	2783121.5
scaffold_7	6	jg4563	2792358
scaffold_5	7	jg26026	7483037.5
scaffold_5	7	jg1722	7483358
scaffold_5	7	jg17695	7483387
scaffold_5	7	jg14370	7482034.5
scaffold_5	7	jg1721	7481426.5
scaffold_5	7	jg10235	7484529
scaffold_5	7	jg10234	7480991
scaffold_5	7	jg17694	7480869.5
scaffold_5	7	jg5822	7480522.5
scaffold_5	7	jg26027	7485335.5
scaffold_5	7	jg5823	7485347.5
scaffold_5	7	jg14371	7485383.5
scaffold_5	7	jg14369	7479952
scaffold_5	7	jg17696	7485729.5
scaffold_5	7	jg30452	7479552
scaffold_5	7	jg1723	7486514
scaffold_5	7	jg21601	7478703.5
scaffold_5	7	jg10236	7486913.5
scaffold_5	7	jg14372	7487033.5
scaffold_5	7	jg26028	7487266
scaffold_5	7	jg30453	7487429.5
scaffold_5	7	jg26025	7477811
scaffold_6	8	jg11093	10911289.5
scaffold_6	8	jg2367	10911332
scaffold_6	8	jg15262	10910475
scaffold_6	8	jg18453	10911503.5
scaffold_6	8	jg22430	10909832
scaffold_6	8	jg22431	10912033
scaffold_6	8	jg6603	10909709.5
scaffold_6	8	jg15263	10912592.5
scaffold_6	8	jg11094	10912651
scaffold_6	8	jg26857	10909099.5
scaffold_6	8	jg2366	10908177.5
scaffold_6	8	jg11092	10907743.5
scaffold_6	8	jg15261	10907564.5
scaffold_6	8	jg18452	10907396
scaffold_6	8	jg26858	10914722.5
scaffold_6	8	jg2368	10914723.5
scaffold_6	8	jg18454	10914845.5
scaffold_6	8	jg15264	10915570
scaffold_6	8	jg31330	10906154
scaffold_6	8	jg2365	10906071
scaffold_7	9	jg13579	3017087.5
scaffold_7	9	jg9079	3017562
scaffold_7	9	jg29226	3015430.5
scaffold_7	9	jg24759	3018107.5
scaffold_7	9	jg24758	3015184
scaffold_7	9	jg9078	3015125.5
scaffold_7	9	jg4623	3014726.5
scaffold_7	9	jg13578	3014176
scaffold_7	9	jg20912	3019423.5
scaffold_7	9	jg9080	3019542.5
scaffold_7	9	jg24757	3013802
scaffold_7	9	jg29227	3019918.5
scaffold_7	9	jg4624	3020442.5
scaffold_7	9	jg24756	3012092
scaffold_7	9	jg24760	3021463
scaffold_4	10	jg22772	12238320.5
scaffold_4	10	jg31639	12239367
scaffold_4	10	jg18798	12238136
scaffold_4	10	jg18799	12239579.5
scaffold_4	10	jg11395	12239689.5
scaffold_4	10	jg2659	12237736
scaffold_4	10	jg2660	12240016
scaffold_4	10	jg31638	12237451
scaffold_4	10	jg15612	12240560
scaffold_4	10	jg2658	12236493
scaffold_4	10	jg22771	12236460.5
scaffold_4	10	jg31640	12241254.5
scaffold_4	10	jg11394	12236223
scaffold_4	10	jg31637	12235807.5
scaffold_4	10	jg6848	12235375.5
scaffold_4	10	jg22773	12242242.5
scaffold_4	10	jg18800	12242339
scaffold_4	10	jg2661	12242542
scaffold_4	10	jg22770	12234429.5
scaffold_4	10	jg11393	12234326.5
scaffold_3	11	jg21409	6518403
scaffold_3	11	jg25753	6518521.5
scaffold_3	11	jg30192	6517976
scaffold_3	11	jg5563	6517431
scaffold_3	11	jg21408	6517051.5
scaffold_3	11	jg17516	6519781.5
scaffold_3	11	jg9988	6520089
scaffold_3	11	jg1664	6516436.5
scaffold_3	11	jg21410	6520215
scaffold_3	11	jg17515	6515894
scaffold_3	11	jg9987	6515862
scaffold_3	11	jg30193	6520822.5
scaffold_3	11	jg25754	6520938.5
scaffold_3	11	jg25752	6515213
scaffold_3	11	jg14171	6521922.5
scaffold_3	11	jg5562	6514165
scaffold_3	11	jg30191	6514025
scaffold_3	11	jg25755	6522685.5
scaffold_3	11	jg17517	6522743.5
scaffold_3	11	jg9989	6523099.5
scaffold_3	11	jg14170	6513479
scaffold_8	12	jg6371	9767988.5
scaffold_8	12	jg22117	9768448
scaffold_8	12	jg2129	9768918
scaffold_8	12	jg10824	9769111
scaffold_8	12	jg26597	9767043.5
scaffold_8	12	jg31042	9769238
scaffold_8	12	jg2128	9766276
scaffold_8	12	jg22116	9765878
scaffold_8	12	jg14936	9765286.5
scaffold_8	12	jg10823	9764418.5
scaffold_8	12	jg6370	9764323.5
scaffold_8	12	jg14937	9772071.5
scaffold_8	12	jg6372	9772196
scaffold_8	12	jg22118	9772343.5
scaffold_8	12	jg2127	9763638
scaffold_8	12	jg26596	9763275
scaffold_8	12	jg10822	9763102
scaffold_8	12	jg18163	9773089
scaffold_6	13	jg2949	13379204.5
scaffold_6	13	jg19081	13378978.5
scaffold_6	13	jg23084	13380263.5
scaffold_6	13	jg31916	13380351.5
scaffold_6	13	jg19082	13380790.5
scaffold_6	13	jg11582	13377769.5
scaffold_6	13	jg23083	13377465.5
scaffold_6	13	jg15951	13376595
scaffold_6	13	jg19083	13382302.5
scaffold_6	13	jg23085	13382732
scaffold_6	13	jg31917	13382778.5
scaffold_6	13	jg2950	13382886.5
scaffold_6	13	jg2948	13375791.5
scaffold_6	13	jg11583	13384063
scaffold_6	13	jg23082	13374490
scaffold_2	14	jg19578	15238536
scaffold_2	14	jg27476	15238083.5
scaffold_2	14	jg23576	15240133.5
scaffold_2	14	jg23575	15236824
scaffold_2	14	jg27475	15235517
scaffold_2	14	jg19579	15242484
scaffold_2	14	jg27477	15242651
scaffold_2	14	jg3430	15243508.5
scaffold_1	15	jg17386	4500993
scaffold_1	15	jg21167	4502307.5
scaffold_1	15	jg29643	4500461.5
scaffold_1	15	jg25204	4500152.5
scaffold_1	15	jg5033	4502727
scaffold_1	15	jg25205	4502810.5
scaffold_1	15	jg1346	4503238
scaffold_1	15	jg9429	4498961.5
scaffold_1	15	jg13844	4503977.5
scaffold_1	15	jg9430	4504160.5
scaffold_1	15	jg25203	4498244.5
scaffold_1	15	jg21166	4497579.5
scaffold_1	15	jg5034	4505309
scaffold_1	15	jg1347	4505443
scaffold_1	15	jg25206	4505468
scaffold_1	15	jg5032	4497120
scaffold_1	15	jg29644	4506353
scaffold_1	15	jg9431	4506410.5
scaffold_7	16	jg7476	16731879.5
scaffold_7	16	jg20003	16731060
scaffold_7	16	jg27760	16733547.5
scaffold_7	16	jg11937	16729423.5
scaffold_7	16	jg20004	16734154
scaffold_7	16	jg11936	16727395.5
scaffold_7	16	jg7477	16736025.5
scaffold_7	16	jg20002	16727168.5
scaffold_7	16	jg27759	16726766.5
scaffold_2	17	jg5396	5885261.5
scaffold_2	17	jg14055	5884727.5
scaffold_2	17	jg21300	5886121.5
scaffold_2	17	jg25583	5886691
scaffold_2	17	jg9809	5884002
scaffold_2	17	jg25582	5883598.5
scaffold_2	17	jg1588	5883540
scaffold_2	17	jg30016	5887245
scaffold_2	17	jg9810	5887426.5
scaffold_2	17	jg9808	5882252
scaffold_2	17	jg25584	5889362
scaffold_2	17	jg14054	5881110.5
scaffold_2	17	jg14056	5889610.5
scaffold_2	17	jg30015	5881027
scaffold_4	18	jg25571	5849122.5
scaffold_4	18	jg14046	5848409.5
scaffold_4	18	jg1579	5848261
scaffold_4	18	jg30006	5847736
scaffold_4	18	jg25572	5850352
scaffold_4	18	jg21295	5850868.5
scaffold_4	18	jg25570	5846971.5
scaffold_4	18	jg17418	5846699
scaffold_4	18	jg9798	5851438.5
scaffold_4	18	jg9797	5846377
scaffold_4	18	jg5389	5852033
scaffold_4	18	jg5388	5846006.5
scaffold_4	18	jg30005	5845624.5
scaffold_4	18	jg25573	5852531
scaffold_4	18	jg21296	5853258.5
scaffold_4	18	jg30007	5853517
scaffold_4	18	jg14047	5853766
scaffold_4	18	jg1580	5853974
scaffold_4	18	jg17417	5844033.5
scaffold_6	19	jg21788	8393982.5
scaffold_6	19	jg10473	8393507
scaffold_6	19	jg26257	8393503.5
scaffold_6	19	jg30682	8393245
scaffold_6	19	jg10472	8391483
scaffold_6	19	jg30683	8396395.5
scaffold_6	19	jg1884	8396746
scaffold_6	19	jg6060	8396899
scaffold_6	19	jg6059	8390865.5
scaffold_6	19	jg17858	8396963.5
scaffold_6	19	jg14585	8397070.5
scaffold_6	19	jg1883	8390683
scaffold_6	19	jg26258	8397312.5
scaffold_6	19	jg14584	8390085.5
scaffold_6	19	jg26256	8389837
scaffold_6	19	jg30684	8398443
scaffold_6	19	jg30681	8389042
scaffold_7	20	jg2293	10616369
scaffold_7	20	jg31260	10616622.5
scaffold_7	20	jg6547	10616894
scaffold_7	20	jg15179	10616895.5
scaffold_7	20	jg6546	10615495
scaffold_7	20	jg26782	10617412.5
scaffold_7	20	jg22346	10615009
scaffold_7	20	jg26783	10618032.5
scaffold_7	20	jg26784	10618890.5
scaffold_7	20	jg11029	10618925
scaffold_7	20	jg15180	10618964.5
scaffold_7	20	jg6548	10619263.5
scaffold_7	20	jg31259	10613087.5
scaffold_7	20	jg22347	10619461
scaffold_7	20	jg18378	10612927
scaffold_7	20	jg31261	10620128.5
scaffold_7	20	jg15178	10612154.5
scaffold_7	20	jg22345	10612095.5
scaffold_7	20	jg26785	10620456.5
scaffold_7	20	jg2292	10611735.5
scaffold_7	20	jg22348	10621022
scaffold_7	20	jg15181	10621141
scaffold_7	20	jg11028	10611284
