Orthogroup	A_arenosa	A_thaliana
OG0000061	jg777	AT1G64070.1
OG0000061	jg476	AT1G63870.1
OG0000061	jg1373	AT5G35510.2
OG0000061	jg475	AT1G63880.1
OG0000062	jg17518	AT3G29763.1
OG0000062	jg7132, jg7106, jg7127	AT3G29765.1
OG0000062	jg14356	AT1G42710.1
OG0000062	jg26653, jg14013	AT4G09660.1, AT1G19260.1
OG0000063	jg12337	AT5G38260.1
OG0000063	jg2195	AT1G66930.2
OG0000063	jg2209, jg2212	AT1G67000.1
OG0000063	jg2189	AT1G66910.1
OG0000066	jg33436, jg33435	AT1G52450.1, AT1G52430.1
OG0000066	jg23140	AT5G61940.2
OG0000066	jg23141	AT5G61950.1
OG0000066	jg17687	AT2G27650.1
OG0000066	jg17685, jg17683	AT2G27630.1
OG0000066	jg21823	AT5G51530.1
OG0000066	jg1847	AT1G65200.1
OG0000066	jg1820	AT1G65120.2
OG0000066	jg1819	AT1G65110.2
OG0000066	jg1822, jg1715, jg1705	AT1G65130.1
OG0000067	jg16900, jg16897, jg16899	AT2G24250.1
OG0000067	jg16997, jg17390, jg1743	AT1G64840.1
OG0000069	jg7079, jg6091, jg1752	AT5G22690.2
OG0000069	jg20418	AT5G46500.1
OG0000069	jg20443	AT5G46260.1
OG0000069	jg20442	AT5G46270.4
OG0000069	jg20423, jg13687	AT5G46450.1
OG0000069	jg20420	AT5G46470.1
OG0000069	jg12610	AT5G40060.1
OG0000071	jg19552	AT2G42455.1
OG0000071	jg19555	AT2G42460.1
OG0000071	jg497, jg24823, jg19558	AT2G42470.1
OG0000073	jg5289	AT5G14670.1
OG0000073	jg20125	AT3G62290.1
OG0000075	jg12354	AT5G38350.1
OG0000075	jg12353	AT5G38340.1
OG0000075	jg2013	AT1G65850.2
OG0000075	jg4953	AT5G11250.2
OG0000076	jg17603	AT5G40595.1
OG0000078	jg12109	AT3G31430.1
OG0000078	jg25787, jg20957, jg13720, jg16912, jg12160, jg21612, jg6475, jg20956	AT3G42140.1
OG0000080	jg12792	AT5G41690.1
OG0000080	jg12682	AT3G10845.1
OG0000080	jg14696, jg15293	AT3G48835.1
OG0000080	jg12743	AT3G48840.1
OG0000081	jg26163	AT3G20090.2
OG0000081	jg26159	AT3G20080.1
OG0000081	jg26263	AT3G20950.1, AT3G20940.1
OG0000081	jg17559	AT2G27010.1, AT2G27000.1
OG0000081	jg26161	AT3G20140.1
OG0000081	jg26157	AT4G15330.1
OG0000082	jg17305, jg27206	AT3G29638.1
OG0000082	jg27209, jg1403	AT2G19960.3
OG0000082	jg17368	AT2G06500.1
OG0000082	jg17369	AT4G10200.1
OG0000083	jg14562	AT5G39390.1
OG0000083	jg14507	AT3G47580.1
OG0000083	jg14558	AT3G47570.1
OG0000084	jg19387, jg15648, jg15712	AT3G56800.1
OG0000084	jg2098, jg12245	AT2G41090.1
OG0000084	jg17567	AT2G27030.3
OG0000084	jg5984	AT5G21274.1
OG0000087	jg16741	AT2G23000.1
OG0000087	jg16740	AT2G22990.3
OG0000087	jg16743	AT2G23010.1
OG0000087	jg16738	AT2G22920.2
OG0000087	jg24982	AT3G10450.1
OG0000087	jg2970	AT1G73270.1
OG0000087	jg2971	AT5G36180.1, AT1G73300.1, AT1G73310.1, AT1G73280.1, AT1G73290.1
OG0000088	jg13946, jg1955	AT1G43722.1
OG0000088	jg1518, jg14119	AT5G28730.1
OG0000088	jg27203, jg32263, jg31869, jg32810	AT3G30525.1
OG0000089	jg6813, jg6561	AT1G14800.1
OG0000090	jg5696, jg5697	AT5G18510.1
OG0000090	jg33214	AT1G48145.1, AT1G50745.1, AT1G50770.1
OG0000090	jg33216	AT1G50820.2, AT1G50790.1
OG0000090	jg33213	AT1G50750.1
OG0000090	jg11063	AT4G16050.1
OG0000090	jg33312	AT1G51538.1
OG0000090	jg33217, jg33218	AT1G50830.1
OG0000093	jg25048	AT3G10990.1
OG0000093	jg23606	AT5G65850.1
OG0000094	jg13696, jg13695, jg13697	AT4G01380.1
OG0000094	jg7196, jg7197, jg7195, jg7198	AT1G45063.1
OG0000095	jg26924, jg26840, jg26930, jg26928, jg26931, jg26836, jg26839, jg26834	AT3G24900.2, AT3G25010.2, AT3G24982.1, AT3G25020.1
OG0000095	jg17113	AT2G25440.1
OG0000095	jg18428, jg18393	AT2G33020.1
OG0000095	jg26837, jg27121	AT2G33080.1
OG0000095	jg18343, jg18344	AT2G32680.1
OG0000096	jg28078	AT2G18960.1
OG0000096	jg22635	AT5G57350.1
OG0000096	jg16942	AT2G24520.2
OG0000096	jg13954	AT3G42640.1
OG0000096	jg27288	AT2G07560.1
OG0000096	jg9392	AT4G30190.2
OG0000097	jg1353	AT1G58400.2
OG0000097	jg1150, jg1143	AT1G58410.1
OG0000097	jg1148	AT1G58390.1
OG0000098	jg25056, jg25050	AT3G28890.1
OG0000098	jg24479	AT3G05650.1
OG0000098	jg24480	AT3G05660.1
OG0000098	jg27540	AT2G15042.1
OG0000099	jg18001	AT2G29780.1
OG0000099	jg17999, jg17979	AT2G29770.1
OG0000099	jg17980	AT2G29600.1
OG0000099	jg18002, jg17981	AT2G29800.1
OG0000099	jg17978	AT2G29860.1
OG0000100	jg29678, jg29676, jg29722, jg29734	AT1G12300.1, AT1G12775.1
OG0000100	jg29708, jg29704, jg29712	AT1G12620.1
OG0000100	jg29724	AT1G12700.2
OG0000100	jg29675	AT1G12615.1
OG0000100	jg372	AT1G64583.1
OG0000100	jg26478	AT3G22470.1
OG0000101	jg26776, jg302, jg5265, jg31440, jg25892, jg12998, jg6463, jg14036	AT3G30165.1
OG0000101	jg24928	AT1G48285.1, AT2G37125.1
OG0000102	jg21234, jg27375, jg17530, jg27321, jg11832, jg32723, jg6743, jg13256, jg13775, jg6831, jg6828, jg20743, jg13481, jg27966, jg1171, jg23909, jg28024, jg28203, jg15708, jg2814, jg21590, jg1595, jg11115, jg27097, jg17343, jg13286, jg32016, jg15510, jg485, jg17019, jg1369, jg11681, jg13718, jg20940, jg32688, jg11952, jg22168, jg27260, jg801, jg19403, jg8022, jg32461, jg3826, jg6152, jg10244, jg7890, jg4561, jg11631, jg8151, jg27875, jg13765, jg33786, jg31751, jg10348, jg21222, jg1681, jg27060, jg1888, jg27329, jg1969, jg27324, jg27316, jg32467, jg20740, jg1609, jg11985, jg12892, jg21318, jg32440, jg12088, jg13917, jg13921, jg11887, jg32289, jg1603, jg7146, jg32254, jg17776, jg32247, jg32368, jg7043, jg27386, jg12080, jg27333, jg32384, jg11751, jg6898, jg14072, jg21073, jg1619, jg1444, jg27232, jg11637	AT3G32160.1
OG0000104	jg21770	AT5G51105.1
OG0000104	jg23041, jg27950	AT5G42895.1, AT4G09545.1
OG0000104	jg23040	AT5G36739.1, AT5G36662.1
OG0000105	jg2771	AT1G71390.2
OG0000105	jg24440	AT3G05370.1
OG0000107	jg30929	AT1G23580.1
OG0000107	jg30930	AT1G23600.1, AT1G23590.1
OG0000107	jg30924, jg30923	AT1G23520.1
OG0000107	jg30936	AT1G23670.2
OG0000107	jg30938	AT1G23690.1
OG0000107	jg30935	AT1G23645.1
OG0000109	jg22050	AT5G53300.1
OG0000109	jg12793	AT5G41700.4
OG0000109	jg22463	AT5G56150.1
OG0000109	jg24782	AT3G08690.1
OG0000110	jg27019, jg27031, jg27014, jg27015, jg27013	AT2G04920.1
OG0000110	jg7315	AT3G17500.1
OG0000110	jg26463	AT3G22350.1
OG0000110	jg26501	AT3G22720.1, AT3G22710.1
OG0000110	jg26509	AT3G22730.1
OG0000112	jg1779	AT2G16676.1, AT4G02000.1, AT2G13450.1, AT3G47920.1
OG0000112	jg1784	AT2G41590.1, AT2G02103.1, AT5G18636.1, AT5G25200.1, AT3G57587.1, AT2G13510.1, AT2G13500.1, AT2G17920.1
OG0000112	jg2765, jg17722	AT5G51195.1
OG0000112	jg11839	AT4G04730.1, AT2G31590.1
OG0000112	jg27527	AT1G43680.1, AT5G36228.1
OG0000115	jg902	AT1G60320.1
OG0000115	jg1249	AT1G57830.1
OG0000115	jg29337	AT1G09665.1
OG0000115	jg1247	AT1G57850.1
OG0000115	jg13128	AT2G03300.1, AT2G03030.1
OG0000116	jg27041, jg26722	AT3G23955.2
OG0000116	jg22109, jg22108, jg22093	AT5G53635.1
OG0000116	jg1528	AT5G53637.1
OG0000116	jg22099, jg22100, jg22098, jg22085, jg22087, jg22094, jg22123, jg22124	AT5G53640.1
OG0000118	jg4758	AT5G42965.1, AT5G38920.1
OG0000118	jg28282, jg27759, jg13668	AT4G29090.1
OG0000118	jg11859	AT2G34320.1
OG0000119	jg12711	AT5G40910.1
OG0000119	jg12800, jg12812, jg12806, jg12809, jg12803, jg12817, jg17734, jg12816, jg12804, jg12810	AT5G41740.2, AT5G41750.1
OG0000120	jg14330, jg13977, jg14002, jg14327, jg14326	AT3G45555.1
OG0000120	jg14325	AT3G45540.1
OG0000120	jg17260	AT2G26135.1
OG0000120	jg17259, jg17257	AT2G26130.1
OG0000120	jg14055	AT3G43750.1
OG0000122	jg11540	AT4G13290.1
OG0000122	jg11537	AT4G13310.1
OG0000122	jg10545	AT4G20235.1
OG0000122	jg6369, jg6371	AT5G24950.1
OG0000122	jg18123	AT1G11610.2, AT2G30750.1
OG0000122	jg18125	AT2G30770.1
OG0000123	jg11136	AT4G15700.1
OG0000123	jg11135	AT4G15680.1
OG0000126	jg31478, jg31472	AT1G29450.1
OG0000126	jg31469	AT1G29420.2
OG0000126	jg31473	AT1G29460.2
OG0000126	jg31470	AT1G29440.1, AT5G27780.1, AT1G29430.1
OG0000127	jg17558	AT2G07760.1
OG0000128	jg30666	AT1G21240.1
OG0000128	jg30665	AT1G21230.1
OG0000128	jg30668	AT1G21250.1
OG0000128	jg30663	AT1G21270.1
OG0000128	jg30833	AT1G21210.1
OG0000129	jg647	AT3G51210.1
OG0000129	jg9826	AT4G26280.1
OG0000131	jg29706	AT2G01050.1
OG0000132	jg32770	AT1G47390.1
OG0000132	jg25725	AT3G16580.1
OG0000132	jg27499	AT2G14710.1
OG0000132	jg31896	AT1G32430.1
OG0000133	jg33280, jg22121	AT1G51370.1
OG0000136	jg6883, jg11614, jg1479, jg21044, jg11780, jg32221, jg1901, jg32222, jg14690	AT2G06420.1
OG0000137	jg26289, jg14328, jg14329	AT3G21120.1
OG0000137	jg7365	AT4G10190.1
OG0000138	jg10186	AT4G23230.1
OG0000138	jg10206	AT4G23150.1
OG0000138	jg10207	AT4G23140.2
OG0000138	jg10193, jg10203, jg10197	AT4G23180.1
OG0000139	jg814	AT1G61500.3
OG0000139	jg820	AT1G61430.1
OG0000139	jg826	AT1G61400.2, AT1G61440.2
OG0000139	jg816	AT1G61480.1
OG0000139	jg806	AT1G61550.1
OG0000139	jg818	AT1G61460.1
OG0000139	jg821	AT1G61420.2
OG0000141	jg13147	AT2G03460.1
OG0000141	jg24918, jg24919, jg25139	AT3G08810.1
OG0000141	jg22013	AT5G51250.1
OG0000141	jg12409	AT5G38680.1
OG0000141	jg12408	AT5G38670.1
OG0000142	jg31643	AT1G30790.1
OG0000143	jg14104, jg9592, jg33081	AT1G77815.1, AT1G27870.1
OG0000143	jg11327	AT1G50160.1
OG0000143	jg12111, jg32651, jg20179, jg17565	AT1G47497.1, AT2G46460.1
OG0000143	jg20993, jg25905	AT2G11205.1
OG0000143	jg27275	AT5G43755.1
OG0000143	jg33171, jg25904, jg11471	AT5G44470.1, AT3G23320.1, AT1G52990.1, AT5G65005.1, AT5G52115.1
OG0000146	jg7999	AT4G01910.1, AT4G01740.1, AT4G01930.1, AT4G01920.1, AT4G11390.2
OG0000146	jg8001	AT4G02180.1
OG0000146	jg8000	AT4G02190.1
OG0000146	jg7536, jg7534	AT4G11550.1
OG0000146	jg7249	AT4G11540.1, AT4G01925.1
OG0000148	jg21089	AT4G03740.1
OG0000152	jg3222	AT1G75630.2
OG0000152	jg30517	AT1G19910.1
OG0000152	jg27707, jg8360, jg8879	AT4G38920.1
OG0000153	jg4036	AT5G03020.1, AT5G03010.1
OG0000153	jg19739	AT2G45406.1, AT2G44030.1
OG0000153	jg7053	AT5G02990.1
OG0000153	jg4031	AT5G02980.1
OG0000153	jg4035	AT3G46050.1
OG0000153	jg4033	AT5G03000.1
OG0000154	jg967, jg812	AT1G75830.1
OG0000154	jg20723	AT2G26010.1, AT5G44430.1, AT2G26020.1, AT5G44420.1
OG0000156	jg21685	AT5G50270.1
OG0000156	jg22488	AT5G56325.1
OG0000156	jg31888	AT1G32375.1
OG0000158	jg28796	AT1G04750.1
OG0000158	jg18397	AT2G33110.1
OG0000158	jg28797	AT1G04760.1
OG0000158	jg18340	AT2G32670.1
OG0000159	jg4069	AT3G26240.1, AT3G26250.1
OG0000159	jg2102	AT1G66450.2
OG0000159	jg2101	AT1G66440.1
OG0000159	jg31434	AT1G29180.1
OG0000159	jg732	AT1G62030.1
OG0000159	jg14255	AT5G03355.1
OG0000159	jg17810	AT2G28460.1
OG0000159	jg21365	AT4G15070.1, AT5G48320.1
OG0000159	jg4073, jg4068	AT5G37210.1
OG0000159	jg4071	AT5G03360.1, AT4G26380.1
OG0000159	jg7405	AT4G10560.1
OG0000160	jg1971	AT3G42870.1
OG0000160	jg1972	AT5G36080.1
OG0000161	jg17561	AT5G18880.1
OG0000162	jg6123	AT5G22880.1
OG0000162	jg21256, jg29136	AT2G28720.1
OG0000162	jg14378	AT3G45980.1
OG0000162	jg22931	AT5G59910.1
OG0000162	jg14383	AT3G46030.1
OG0000163	jg18545	AT2G34430.1
OG0000163	jg31533, jg31532	AT1G29920.1, AT1G29910.1, AT1G29930.1
OG0000163	jg18544	AT2G34420.1
OG0000165	jg26396	AT3G21910.1
OG0000165	jg26395	AT3G21900.2
OG0000165	jg13712	AT3G29050.2
OG0000165	jg26398, jg26399	AT3G21930.1, AT3G21920.2
OG0000166	jg5787	AT5G19270.1
OG0000169	jg32948	AT1G48660.2
OG0000169	jg32947, jg32949	AT1G48670.1
OG0000171	jg21432, jg11645	AT5G48670.1
OG0000171	jg6565	AT5G26630.1
OG0000172	jg27200, jg6559	AT5G31412.1
OG0000172	jg11991	AT1G43260.1
OG0000173	jg13305	AT3G26200.1
OG0000173	jg13304	AT3G26190.1
OG0000173	jg15261	AT3G53290.1
OG0000173	jg15262	AT3G53305.1
OG0000173	jg15260	AT3G53280.1
OG0000173	jg14140	AT3G44250.1
OG0000174	jg10624	AT4G19570.1
OG0000174	jg10621, jg10622	AT4G19580.1
OG0000174	jg23232	AT5G62780.1
OG0000174	jg12242	AT5G37750.1, AT5G37440.1
OG0000174	jg12243	AT5G37760.1
OG0000177	jg5838	AT5G19770.1
OG0000177	jg5839	AT5G19780.1
OG0000177	jg1712	AT1G64740.1
OG0000177	jg33127, jg33133	AT1G04820.1, AT1G50010.1
OG0000178	jg14453	AT3G46680.1
OG0000178	jg14457	AT3G46720.1
OG0000180	jg18827	AT2G36880.1
OG0000180	jg25844	AT3G17390.1
OG0000180	jg8055, jg28558	AT1G02500.1
OG0000181	jg31117	AT1G26420.1
OG0000181	jg31119	AT1G26400.1
OG0000181	jg31122	AT1G26380.1
OG0000181	jg31118	AT1G26410.1
OG0000181	jg10496, jg10495	AT4G20800.1
OG0000181	jg31120	AT1G26390.1
OG0000182	jg25213	AT3G12580.1
OG0000182	jg24871	AT3G09440.1
OG0000182	jg3984	AT5G02490.1
OG0000182	jg1415	AT1G56410.1
OG0000182	jg3985	AT5G02500.1
OG0000183	jg27435	AT1G25141.1
OG0000183	jg26888	AT3G25460.1
OG0000183	jg6740, jg25958	AT4G09870.1
OG0000183	jg14860	AT3G49980.2
OG0000188	jg1676	AT3G43150.1, AT4G07740.1, AT4G06583.2, AT3G30220.1
OG0000191	jg26019	AT3G17620.1
OG0000191	jg28057, jg28058	AT2G18780.1
OG0000191	jg25759, jg25744	AT3G16740.1
OG0000192	jg26420	AT3G22050.1
OG0000192	jg26418, jg26416, jg26419	AT3G22053.1, AT3G22030.1
OG0000193	jg13315	AT3G26290.2
OG0000193	jg13318	AT3G26300.1
OG0000193	jg13319	AT3G26310.1
OG0000193	jg13320	AT3G26330.1
OG0000193	jg13321	AT2G02580.1
OG0000194	jg7787	AT4G05230.1
OG0000194	jg7788	AT4G05240.1
OG0000194	jg7885, jg7884	AT4G03370.1, AT4G02950.1, AT4G03360.1
OG0000194	jg7892, jg7931, jg7886	AT4G02970.1, AT4G03350.1
OG0000196	jg10163	AT4G23400.1
OG0000196	jg28458	AT1G01620.1
OG0000196	jg8201	AT4G00430.1
OG0000196	jg28483, jg16199	AT3G61430.1
OG0000197	jg20849	AT1G33850.1
OG0000197	jg4766	AT5G09500.1
OG0000197	jg4765	AT5G09490.1
OG0000197	jg4767	AT5G09510.1
OG0000197	jg28744	AT1G04270.1
OG0000198	jg1233, jg1313, jg1242	AT1G57860.1, AT1G57660.1
OG0000198	jg29325, jg29339	AT1G09590.1, AT1G09690.1
OG0000199	jg581	AT1G63320.1
OG0000200	jg15169	AT3G52510.1
OG0000200	jg15141	AT3G52320.1
OG0000200	jg15143	AT3G52330.1
OG0000201	jg26720	AT3G23950.1, AT3G23970.1
OG0000202	jg11406	AT4G13960.1
OG0000202	jg12366, jg12367	AT1G52650.1
OG0000202	jg12362, jg12370, jg12363, jg12361	AT5G38386.1, AT5G38390.1
OG0000202	jg15934	AT3G59000.1
OG0000202	jg15928, jg15911	AT3G58820.1
OG0000203	jg10192	AT4G23190.1
OG0000203	jg10205	AT4G23220.1
OG0000204	jg23546	AT4G11250.1, AT5G65330.1
OG0000204	jg12611, jg12549	AT5G40070.1
OG0000204	jg12556	AT5G37415.1, AT5G39810.1, AT5G39750.1, AT5G38740.1, AT5G41200.1, AT5G40220.1, AT5G40120.1
OG0000205	jg20890, jg20895, jg20894, jg20892, jg20896, jg20889, jg20897	AT5G43360.1
OG0000209	jg22696, jg14729, jg14731, jg14730	AT3G49020.1
OG0000209	jg14762	AT2G04230.1
OG0000209	jg14732	AT3G49030.1
OG0000209	jg14739, jg14734	AT3G49040.1
OG0000210	jg7810	AT4G05460.1
OG0000210	jg7817	AT4G05497.1
OG0000210	jg11552	AT5G52480.1
OG0000211	jg1426	AT1G56330.1
OG0000211	jg28568	AT1G02620.1
OG0000211	jg8018	AT4G02080.1
OG0000211	jg16322	AT3G62560.1
OG0000211	jg29276	AT1G09180.1
OG0000212	jg10319	AT4G22170.1
OG0000212	jg10273, jg10266	AT4G22660.1
OG0000212	jg10321, jg10322, jg10320	AT4G22165.1
OG0000212	jg10315	AT4G22180.1
OG0000215	jg29153	AT1G07940.1, AT1G07920.1
OG0000215	jg29154	AT1G07930.1
OG0000216	jg2076, jg12504	AT1G66290.1
OG0000216	jg2082, jg17554, jg2084	AT1G66320.1, AT1G66640.1
OG0000216	jg1979, jg2083	AT1G66310.1
OG0000216	jg2081	AT1G66300.1
OG0000216	jg3554	AT1G78730.1
OG0000216	jg3556	AT1G78760.1
OG0000216	jg3555	AT1G78750.1
OG0000216	jg2551	AT1G69630.1
OG0000223	jg28872	AT3G03360.1
OG0000223	jg33080	AT1G49610.1
OG0000224	jg21423	AT5G35450.1
OG0000224	jg21418, jg21420, jg21413	AT5G43470.1, AT5G48620.1
OG0000224	jg26956, jg26959	AT4G16095.1
OG0000224	jg33545	AT1G53350.1
OG0000224	jg29502	AT1G10920.1
OG0000226	jg2752	AT1G70960.1, AT1G70380.1
OG0000227	jg26323	AT3G21340.1
OG0000227	jg33349	AT1G51810.1
OG0000227	jg33347	AT1G51805.1
OG0000227	jg33355	AT1G51850.2
OG0000227	jg33352	AT1G51820.1
OG0000230	jg30802	AT1G22400.1
OG0000230	jg30800	AT1G22370.2
OG0000230	jg30796	AT1G22340.1
OG0000230	jg30801	AT1G22380.1
OG0000231	jg31780	AT1G31550.2
OG0000231	jg31388	AT1G28600.1
OG0000231	jg17641	AT2G27360.1
OG0000231	jg31386	AT1G28580.1
OG0000231	jg31387	AT1G28590.1
OG0000232	jg2555	AT1G69650.1
OG0000232	jg2556	AT1G69660.1
OG0000233	jg18747	AT2G36160.1
OG0000233	jg25103	AT3G11510.1
OG0000234	jg6403	AT5G25300.1
OG0000234	jg6402, jg6418	AT5G25290.1
OG0000234	jg7433	AT4G10820.1
OG0000234	jg27460, jg27464, jg27452, jg27471	AT2G14500.1
OG0000235	jg16931	AT2G24285.2
OG0000235	jg17291, jg16987, jg17003, jg17292	AT3G42940.1
OG0000235	jg20923	AT5G43200.1, AT3G28620.1
OG0000235	jg16935	AT2G24480.1
OG0000235	jg16934	AT2G24460.1
OG0000236	jg19560	AT2G42480.1
OG0000237	jg8854	AT4G35020.1
OG0000237	jg15013	AT3G51300.1
OG0000237	jg8738	AT4G35950.1
OG0000238	jg10285	AT4G22505.1
OG0000239	jg13203, jg13205, jg13204, jg13202	AT2G04037.1, AT2G04041.1, AT2G04031.1
OG0000239	jg11554	AT4G13263.1, AT4G13261.1, AT5G35405.1
OG0000239	jg25151	AT1G47470.1, AT1G47450.1, AT3G11990.1, AT1G45190.1
OG0000240	jg10471, jg26914	AT4G21030.1
OG0000240	jg10468	AT4G21050.1
OG0000240	jg10462	AT4G21040.1, AT4G21080.1
OG0000241	jg19181	AT2G39590.1
OG0000241	jg14384, jg22923, jg29135	AT3G46040.1
OG0000242	jg4088	AT5G03495.1
OG0000242	jg22052, jg22033, jg22034	AT5G53700.1
OG0000242	jg4089	AT5G03480.1
OG0000243	jg2698	AT1G70840.1
OG0000243	jg2708	AT1G70890.1
OG0000244	jg24346, jg24347	AT3G04660.1
OG0000246	jg21485	AT5G48980.1
OG0000246	jg21498, jg21491	AT5G48990.1
OG0000246	jg28254	AT2G20380.1
OG0000247	jg18819	AT2G36790.1, AT2G36800.1
OG0000247	jg18817	AT2G36770.1
OG0000247	jg18818	AT2G36780.1
OG0000248	jg12528, jg12526, jg12522, jg12521, jg12524, jg12523, jg12525, jg12529	AT5G39560.1
OG0000253	jg18360, jg30609, jg31422	AT1G20680.1
OG0000253	jg30617	AT1G20730.1
OG0000255	jg23298	AT2G29880.1
OG0000256	jg2227	AT1G67090.1
OG0000256	jg12372, jg12374, jg12373	AT5G38410.3, AT5G38420.1, AT5G38430.1
OG0000257	jg30082	AT1G15890.1
OG0000257	jg11999	AT1G51480.1
OG0000257	jg20839	AT5G43730.1, AT5G43740.1
OG0000258	jg303, jg1835	AT4G07325.1
OG0000259	jg32915, jg32919	AT1G48390.1
OG0000259	jg32548, jg32861, jg32845, jg32993	AT1G47920.1
